index,Lever position,Ship speed (v),Gas Turbine (GT) shaft torque (GTT) (kN m),GT rate of revolutions (GTn) (rpm),Gas Generator rate of revolutions (GGn) (rpm),Starboard Propeller Torque (Ts) (kN),Port Propeller Torque (Tp) (kN),Hight Pressure (HP) Turbine exit temperature (T48) (C),GT Compressor outlet air temperature (T2) (C),HP Turbine exit pressure (P48) (bar),GT Compressor outlet air pressure (P2) (bar),GT exhaust gas pressure (Pexh) (bar),Turbine Injecton Control (TIC) (%),Fuel flow (mf) (kg/s),GT Compressor decay state coefficient,GT Turbine decay state coefficient
6825,4.161,12,14719.907,1547.451,7734.633,113.757,113.757,644.455,606.848,1.663,8.998,1.022,17.405,0.345,0.979,0.979
1194,7.148,21,38984.37,2678.087,9130.899,332.228,332.228,849.23,698.0,2.966,15.661,1.035,45.538,0.902,0.955,0.977
6685,8.206,24,50994.05,3087.501,9307.591,437.946,437.946,918.588,730.54,3.585,18.435,1.042,59.974,1.187,0.978,0.989
4750,8.206,24,50994.5,3087.518,9309.111,438.059,438.059,931.311,734.182,3.585,18.551,1.041,60.972,1.207,0.97,0.982
9342,1.138,3,1263.653,1381.279,6674.263,9.205,9.205,460.92,545.357,1.138,6.047,1.019,0.0,0.086,0.989,0.999
6027,7.148,21,38989.357,2678.081,9129.704,332.277,332.277,818.368,688.868,2.969,15.438,1.036,43.449,0.86,0.975,0.994
5424,7.148,21,38994.977,2678.059,9123.098,332.346,332.346,834.949,692.023,2.977,15.686,1.035,44.73,0.886,0.973,0.979
4800,4.161,12,14722.14,1547.462,7772.589,113.77,113.77,640.657,607.343,1.659,8.908,1.022,17.188,0.34,0.97,0.988
9626,6.175,18,29761.191,2306.84,8787.105,245.952,245.952,775.57,665.76,2.516,13.388,1.03,34.474,0.683,0.991,0.978
3129,7.148,21,38985.929,2678.075,9130.49,332.139,332.139,836.504,694.268,2.967,15.567,1.035,44.679,0.885,0.963,0.984
8243,9.3,27,72762.149,3560.376,9741.806,645.067,645.067,1071.598,775.811,4.535,22.903,1.051,89.29,1.768,0.985,0.98
11246,6.175,18,29760.522,2306.82,8777.996,246.012,246.012,774.303,664.588,2.519,13.429,1.03,34.448,0.682,0.998,0.976
11321,9.3,27,72761.632,3560.379,9730.792,644.916,644.916,1054.19,770.754,4.547,22.879,1.052,87.879,1.74,0.998,0.984
4766,6.175,18,29789.466,2307.519,8815.972,246.188,246.188,779.781,669.468,2.506,13.271,1.03,34.588,0.685,0.97,0.984
2495,3.144,9,8379.698,1386.761,7132.547,60.355,60.355,587.513,582.848,1.388,7.455,1.02,12.341,0.244,0.96,0.992
8733,4.161,12,14719.015,1547.449,7724.829,113.745,113.745,637.362,604.503,1.663,8.969,1.023,17.091,0.338,0.987,0.983
5304,4.161,12,14722.224,1547.463,7776.024,113.775,113.775,636.301,606.275,1.659,8.875,1.023,16.984,0.336,0.972,0.992
7798,5.14,15,21627.336,1924.317,8470.506,175.269,175.269,706.147,635.993,2.087,11.155,1.026,25.133,0.497,0.983,0.983
10035,1.138,3,3507.118,1316.678,6626.237,5.597,5.597,551.158,555.247,1.208,6.482,1.019,29.83,0.213,0.992,0.998
11651,6.175,18,29762.862,2306.8,8796.257,246.038,246.038,753.147,660.152,2.513,13.173,1.031,33.05,0.654,0.999,0.995
11675,3.144,9,8375.598,1386.736,7060.4,60.305,60.305,565.799,573.746,1.392,7.43,1.021,11.5,0.228,0.999,0.998
689,6.175,18,29798.536,2307.21,8850.954,246.343,246.343,773.04,670.62,2.494,13.033,1.03,33.989,0.673,0.952,0.999
6990,7.148,21,38990.711,2678.082,9129.288,332.308,332.308,812.777,687.15,2.97,15.401,1.036,43.07,0.853,0.979,0.997
9111,4.161,12,14720.101,1547.459,7753.999,113.752,113.752,623.266,601.767,1.66,8.828,1.023,16.406,0.325,0.988,0.999
8408,3.144,9,8377.381,1386.747,7093.705,60.334,60.334,570.992,576.499,1.39,7.417,1.021,11.695,0.232,0.985,0.999
410,6.175,18,29797.882,2307.23,8846.91,246.37,246.37,778.903,671.941,2.495,13.098,1.03,34.364,0.68,0.951,0.994
6710,6.175,18,29789.759,2307.499,8815.673,246.188,246.188,766.971,665.79,2.507,13.177,1.03,33.811,0.669,0.978,0.992
9648,1.138,3,3921.049,1387.51,6635.845,9.668,9.668,554.291,560.555,1.238,6.709,1.019,4.714,0.193,0.991,0.981
5870,3.144,9,8376.357,1386.742,7060.164,60.325,60.325,592.822,581.804,1.391,7.571,1.02,12.594,0.249,0.975,0.977
3855,4.161,12,14722.829,1547.463,7779.721,113.766,113.766,643.351,608.372,1.658,8.914,1.022,17.303,0.343,0.966,0.987
7279,8.206,24,50990.504,3087.329,9300.796,438.031,438.031,929.296,731.61,3.597,18.694,1.041,61.034,1.208,0.981,0.977
6933,4.161,12,14720.891,1547.459,7758.243,113.763,113.763,634.015,604.93,1.66,8.89,1.023,16.899,0.335,0.979,0.991
5223,4.161,12,14721.323,1547.457,7758.134,113.758,113.758,644.109,607.71,1.66,8.955,1.022,17.362,0.344,0.972,0.983
807,7.148,21,38979.346,2678.076,9136.449,332.1,332.1,841.288,697.091,2.959,15.5,1.035,44.879,0.889,0.953,0.986
3257,9.3,27,72780.374,3560.428,9781.296,645.162,645.162,1080.473,781.066,4.486,22.275,1.05,89.122,1.764,0.963,0.998
6517,2.088,6,5354.362,1394.269,6834.706,31.519,31.519,555.643,567.185,1.289,6.884,1.02,0.0,0.196,0.977,0.997
11458,2.088,6,4524.295,1344.355,6764.927,22.3,22.3,538.159,558.432,1.251,6.683,1.02,22.201,0.196,0.998,1.0
9378,1.138,3,3015.889,1353.252,6604.692,7.704,7.704,540.9,556.926,1.2,6.537,1.019,16.002,0.184,0.99,0.977
3846,4.161,12,14722.64,1547.463,7777.715,113.781,113.781,644.223,608.532,1.659,8.922,1.022,17.345,0.343,0.966,0.986
11926,2.088,6,3881.963,1345.441,6761.168,22.478,22.478,519.295,555.401,1.231,6.566,1.02,20.72,0.172,1.0,1.0
5522,6.175,18,29790.6,2307.462,8818.927,246.224,246.224,771.684,667.424,2.505,13.195,1.03,34.08,0.675,0.973,0.99
1005,7.148,21,38981.453,2678.08,9133.918,332.19,332.19,844.731,697.454,2.962,15.571,1.035,45.167,0.894,0.954,0.982
1303,8.206,24,50996.804,3087.608,9320.565,437.98,437.98,934.284,737.863,3.567,18.351,1.041,60.893,1.205,0.955,0.989
6387,7.148,21,38996.323,2678.058,9122.697,332.363,332.363,829.195,690.281,2.977,15.648,1.035,44.343,0.878,0.977,0.982
9507,4.161,12,14719.061,1547.453,7733.86,113.748,113.748,629.144,602.599,1.662,8.9,1.023,16.701,0.331,0.99,0.991
5189,6.175,18,29762.568,2306.858,8807.857,245.942,245.942,784.138,670.038,2.508,13.337,1.03,34.876,0.69,0.972,0.979
447,7.148,21,38974.563,2678.075,9143.516,332.095,332.095,830.522,695.731,2.95,15.293,1.035,43.997,0.871,0.951,0.998
9659,3.144,9,8374.931,1386.734,7037.635,60.308,60.308,581.698,577.683,1.393,7.542,1.02,12.161,0.241,0.991,0.982
2730,4.161,12,14723.985,1547.469,7801.265,113.798,113.798,641.307,608.67,1.656,8.864,1.022,17.185,0.34,0.961,0.992
10356,7.148,21,39010.529,2677.992,9114.171,332.446,332.446,819.175,685.348,2.99,15.721,1.036,43.832,0.868,0.994,0.981
4669,8.206,24,50993.88,3087.507,9316.677,438.002,438.002,914.431,731.802,3.57,18.199,1.042,59.376,1.175,0.969,0.999
7963,8.206,24,50986.613,3087.2,9298.215,438.024,438.024,929.474,731.036,3.6,18.746,1.042,61.115,1.21,0.984,0.975
6054,7.148,21,38988.175,2678.084,9131.21,332.183,332.183,815.392,688.372,2.967,15.388,1.036,43.212,0.856,0.975,0.997
1889,9.3,27,72762.377,3560.387,9769.808,644.932,644.932,1105.506,785.998,4.506,22.836,1.049,91.817,1.818,0.958,0.976
616,5.14,15,21638.746,1924.34,8507.455,175.334,175.334,714.719,642.219,2.075,11.018,1.026,25.428,0.503,0.952,0.991
4740,7.148,21,38991.818,2678.069,9125.56,332.278,332.278,834.881,692.603,2.973,15.642,1.035,44.673,0.884,0.97,0.981
8066,3.144,9,8376.343,1386.741,7065.559,60.327,60.327,580.797,578.432,1.391,7.502,1.02,12.108,0.24,0.984,0.987
699,7.148,21,38974.539,2678.078,9144.022,332.022,332.022,827.849,695.083,2.95,15.263,1.035,43.804,0.867,0.952,1.0
5110,8.206,24,50993.984,3087.507,9314.348,438.097,438.097,916.103,731.627,3.574,18.267,1.042,59.579,1.179,0.971,0.996
4385,3.144,9,8378.99,1386.756,7119.305,60.346,60.346,582.334,580.824,1.389,7.444,1.02,12.141,0.24,0.968,0.994
11152,2.088,6,6081.56,1351.314,6751.886,23.585,23.585,583.722,565.632,1.301,7.006,1.02,20.753,0.249,0.997,0.992
10184,6.175,18,29762.23,2306.823,8795.165,246.004,246.004,763.588,663.061,2.513,13.255,1.031,33.697,0.667,0.993,0.988
5414,6.175,18,29761.483,2306.805,8805.733,245.939,245.939,784.737,670.021,2.508,13.353,1.03,34.923,0.691,0.973,0.978
6159,4.161,12,14720.767,1547.455,7749.165,113.765,113.765,642.295,606.848,1.661,8.959,1.022,17.29,0.342,0.976,0.983
9609,7.148,21,39011.332,2677.978,9113.048,332.428,332.428,826.258,687.104,2.991,15.798,1.036,44.347,0.878,0.991,0.976
6878,3.144,9,8376.67,1386.744,7071.566,60.328,60.328,584.589,579.78,1.391,7.514,1.02,12.258,0.243,0.979,0.985
1181,3.144,9,8378.733,1386.755,7102.841,60.348,60.348,602.825,586.322,1.389,7.569,1.02,12.966,0.257,0.955,0.976
10206,1.138,3,1286.006,1355.674,6630.694,7.759,7.759,471.195,545.743,1.137,6.092,1.019,8.341,0.102,0.993,0.991
11323,2.088,6,6337.495,1353.632,6733.941,24.006,24.006,595.099,567.385,1.31,7.099,1.019,20.289,0.26,0.998,0.985
7267,5.14,15,21626.568,1924.308,8466.096,175.26,175.26,713.988,637.748,2.088,11.232,1.026,25.574,0.506,0.981,0.976
6520,5.14,15,21631.478,1924.341,8488.721,175.272,175.272,695.947,634.956,2.081,10.989,1.027,24.502,0.485,0.977,0.997
3830,6.175,18,29790.797,2307.465,8820.257,246.253,246.253,781.863,670.438,2.505,13.263,1.03,34.69,0.687,0.966,0.984
3759,7.148,21,38991.47,2678.064,9124.962,332.279,332.279,842.787,694.71,2.974,15.714,1.035,45.226,0.895,0.966,0.976
3398,6.175,18,29792.658,2307.379,8826.523,246.281,246.281,778.521,670.042,2.502,13.204,1.03,34.453,0.682,0.964,0.988
8183,3.144,9,8377.589,1386.748,7098.469,60.339,60.339,570.651,576.565,1.39,7.409,1.021,11.678,0.231,0.984,1.0
11836,2.088,6,5446.942,1346.339,6737.363,22.679,22.679,569.044,562.962,1.281,6.909,1.019,22.528,0.231,1.0,0.99
4948,8.206,24,50993.812,3087.468,9306.892,438.006,438.006,934.913,734.538,3.589,18.638,1.041,61.33,1.214,0.971,0.978
8796,4.161,12,14719.541,1547.453,7738.504,113.747,113.747,631.32,603.389,1.662,8.906,1.023,16.797,0.333,0.987,0.99
10396,2.088,6,6947.558,1377.098,6759.717,28.322,28.322,604.946,570.659,1.334,7.218,1.02,8.738,0.264,0.994,0.986
8285,6.175,18,29761.807,2306.77,8800.324,245.945,245.945,770.857,665.597,2.511,13.28,1.03,34.112,0.675,0.985,0.985
10416,4.161,12,14718.217,1547.449,7719.285,113.742,113.742,629.955,602.234,1.664,8.931,1.023,16.756,0.332,0.994,0.988
776,3.144,9,8379.666,1386.76,7125.537,60.361,60.361,597.992,585.72,1.388,7.517,1.02,12.762,0.253,0.953,0.983
7309,2.088,6,3737.386,1386.789,6781.598,30.052,30.052,521.374,561.815,1.236,6.678,1.02,0.0,0.149,0.981,0.981
5367,4.161,12,14722.781,1547.467,7790.023,113.785,113.785,630.346,605.176,1.657,8.813,1.023,16.694,0.33,0.972,0.999
9843,7.148,21,39012.272,2677.971,9112.582,332.417,332.417,825.613,686.807,2.991,15.801,1.036,44.313,0.877,0.992,0.976
4836,4.161,12,14722.457,1547.464,7780.566,113.783,113.783,637.204,606.708,1.658,8.873,1.023,17.02,0.337,0.97,0.992
5762,3.144,9,8377.929,1386.75,7098.018,60.346,60.346,582.04,579.974,1.39,7.468,1.02,12.14,0.24,0.974,0.991
4412,3.144,9,8379.253,1386.758,7126.997,60.357,60.357,579.972,580.387,1.388,7.423,1.02,12.041,0.238,0.968,0.997
11361,4.161,12,14717.632,1547.447,7712.566,113.731,113.731,627.356,601.243,1.664,8.926,1.023,16.643,0.329,0.998,0.989
1118,3.144,9,8380.805,1386.766,7154.279,60.373,60.373,587.843,583.72,1.387,7.431,1.02,12.342,0.244,0.954,0.995
8871,7.148,21,38995.496,2678.076,9125.979,332.334,332.334,806.626,684.57,2.975,15.411,1.036,42.711,0.846,0.987,0.998
11336,6.175,18,29761.926,2306.833,8788.072,246.029,246.029,763.279,662.343,2.516,13.292,1.031,33.718,0.668,0.998,0.986
5300,9.3,27,72773.384,3560.422,9765.894,644.979,644.979,1076.291,778.731,4.506,22.52,1.05,89.135,1.764,0.972,0.991
685,2.088,6,4099.234,1345.214,6865.866,22.504,22.504,545.712,566.09,1.235,6.6,1.019,22.11,0.195,0.952,0.999
4058,9.3,27,72768.124,3560.406,9765.003,644.84,644.84,1088.9,781.693,4.509,22.703,1.05,90.372,1.789,0.967,0.983
4588,8.206,24,50994.422,3087.523,9312.999,438.109,438.109,923.61,733.204,3.577,18.382,1.041,60.233,1.192,0.969,0.99
5629,5.14,15,21628.965,1924.308,8472.64,175.272,175.272,717.641,639.456,2.086,11.222,1.026,25.739,0.51,0.974,0.976
715,5.14,15,21635.656,1924.313,8492.755,175.268,175.268,728.859,644.694,2.079,11.19,1.026,26.243,0.519,0.953,0.976
670,5.14,15,21639.469,1924.352,8512.948,175.344,175.344,708.998,641.15,2.073,10.951,1.026,25.099,0.497,0.952,0.997
5957,9.3,27,72769.086,3560.405,9758.388,645.101,645.101,1077.282,778.383,4.516,22.674,1.05,89.425,1.77,0.975,0.986
3371,6.175,18,29791.71,2307.423,8823.437,246.257,246.257,781.806,670.703,2.504,13.245,1.03,34.669,0.686,0.964,0.985
9995,6.175,18,29762.464,2306.754,8801.267,245.939,245.939,758.72,662.203,2.511,13.185,1.031,33.365,0.661,0.992,0.993
3833,9.3,27,72768.56,3560.413,9766.966,644.996,644.996,1089.151,781.908,4.507,22.669,1.05,90.344,1.788,0.966,0.984
10180,2.088,6,6952.47,1376.635,6766.517,28.242,28.242,603.972,570.59,1.334,7.205,1.02,8.71,0.264,0.993,0.988
8263,2.088,6,4714.735,1394.416,6782.742,31.513,31.513,545.201,565.065,1.27,6.863,1.02,0.0,0.18,0.985,0.983
2339,9.3,27,72781.431,3560.44,9787.134,645.021,645.021,1083.358,782.299,4.478,22.197,1.049,89.234,1.766,0.959,1.0
9572,6.175,18,29764.622,2306.838,8808.53,245.971,245.971,754.424,661.601,2.509,13.115,1.031,33.062,0.655,0.99,0.998
7673,6.175,18,29779.775,2307.313,8814.31,246.099,246.099,761.65,664.166,2.507,13.143,1.031,33.484,0.663,0.982,0.995
6501,4.161,12,14721.652,1547.462,7770.682,113.761,113.761,631.496,604.728,1.659,8.853,1.023,16.769,0.332,0.977,0.995
5648,6.175,18,29761.235,2306.791,8804.669,245.94,245.94,784.22,669.78,2.509,13.355,1.03,34.898,0.691,0.974,0.978
2521,2.088,6,2921.996,1357.852,6844.815,24.731,24.731,505.817,559.928,1.199,6.412,1.019,13.368,0.141,0.96,0.995
641,3.144,9,8381.013,1386.767,7156.384,60.383,60.383,589.554,584.308,1.387,7.437,1.02,12.41,0.246,0.952,0.994
2566,2.088,6,2907.656,1368.47,6864.245,26.66,26.66,497.38,559.266,1.2,6.385,1.02,7.516,0.127,0.96,1.0
1730,3.144,9,8379.397,1386.758,7121.434,60.355,60.355,594.516,584.54,1.388,7.504,1.02,12.627,0.25,0.957,0.985
2042,9.3,27,72777.245,3560.424,9783.105,644.98,644.98,1090.497,783.599,4.486,22.375,1.049,90.034,1.782,0.958,0.993
6342,7.148,21,38999.018,2678.045,9120.166,332.359,332.359,834.371,691.145,2.981,15.734,1.035,44.753,0.886,0.977,0.977
10762,8.206,24,50992.779,3087.445,9302.935,438.093,438.093,896.164,723.542,3.59,18.274,1.042,58.257,1.153,0.995,1.0
4006,2.088,6,3226.646,1349.642,6780.801,23.242,23.242,527.76,562.334,1.209,6.573,1.019,18.57,0.167,0.967,0.978
2322,1.138,3,738.007,1368.019,6730.662,8.565,8.565,456.399,548.084,1.115,5.925,1.019,0.0,0.076,0.959,0.999
775,2.088,6,6325.462,1354.422,6828.521,24.215,24.215,616.166,577.073,1.306,7.098,1.019,20.804,0.274,0.953,0.983
2275,8.206,24,50994.675,3087.545,9319.842,437.956,437.956,927.391,735.939,3.567,18.283,1.041,60.346,1.195,0.959,0.993
327,4.161,12,14725.118,1547.471,7810.467,113.791,113.791,652.061,612.002,1.656,8.917,1.022,17.663,0.35,0.951,0.985
11059,8.206,24,50990.68,3087.332,9293.788,437.973,437.973,914.591,726.098,3.606,18.669,1.042,60.023,1.188,0.997,0.981
9636,7.148,21,39009.264,2677.997,9114.562,332.493,332.493,823.153,686.582,2.989,15.746,1.036,44.1,0.873,0.991,0.979
835,8.206,24,50996.966,3087.614,9321.785,438.015,438.015,935.644,738.521,3.566,18.344,1.041,60.972,1.207,0.953,0.989
9290,3.144,9,8376.296,1386.741,7069.686,60.327,60.327,573.916,576.522,1.391,7.461,1.021,11.827,0.234,0.989,0.993
6586,8.206,24,50991.878,3087.391,9302.91,437.961,437.961,930.211,732.362,3.594,18.663,1.041,61.052,1.209,0.978,0.978
2901,4.161,12,14723.232,1547.464,7784.888,113.79,113.79,646.938,609.568,1.658,8.928,1.022,17.46,0.346,0.962,0.985
80,9.3,27,72768.423,3560.431,9784.732,645.029,645.029,1108.612,787.964,4.488,22.592,1.049,91.705,1.815,0.95,0.983
11352,4.161,12,14717.637,1547.446,7710.637,113.737,113.737,628.211,601.401,1.665,8.935,1.023,16.685,0.33,0.998,0.988
11729,3.144,9,8373.476,1386.718,7008.275,60.284,60.284,580.966,576.385,1.394,7.575,1.02,12.148,0.24,1.0,0.978
4037,6.175,18,29789.411,2307.527,8816.098,246.216,246.216,784.663,670.864,2.506,13.306,1.03,34.882,0.691,0.967,0.981
9919,2.088,6,6662.721,1385.511,6766.843,29.882,29.882,596.471,570.429,1.328,7.186,1.02,3.65,0.249,0.992,0.985
11028,4.161,12,14716.951,1547.441,7693.515,113.719,113.719,637.308,603.206,1.666,9.024,1.023,17.126,0.339,0.997,0.978
11302,8.206,24,50991.197,3087.352,9293.69,437.932,437.932,912.884,725.629,3.606,18.652,1.042,59.886,1.186,0.998,0.982
3472,8.206,24,50994.273,3087.525,9318.247,438.105,438.105,920.882,733.864,3.569,18.241,1.041,59.86,1.185,0.964,0.996
1986,7.148,21,38981.777,2678.076,9134.472,332.103,332.103,836.829,695.333,2.962,15.5,1.035,44.617,0.883,0.958,0.987
9959,6.175,18,29762.286,2306.795,8797.191,245.961,245.961,763.005,663.074,2.512,13.239,1.031,33.65,0.666,0.992,0.989
11771,9.3,27,72759.725,3560.364,9726.66,645.05,645.05,1053.848,770.414,4.552,22.947,1.052,87.942,1.741,1.0,0.982
6935,6.175,18,29773.471,2307.178,8813.14,246.017,246.017,767.42,665.729,2.507,13.189,1.03,33.838,0.67,0.979,0.991
7220,3.144,9,8377.779,1386.75,7099.802,60.339,60.339,574.702,577.834,1.39,7.428,1.021,11.843,0.234,0.98,0.997
2866,5.14,15,21633.658,1924.319,8488.578,175.308,175.308,719.073,641.511,2.081,11.146,1.026,25.744,0.51,0.962,0.981
10502,9.3,27,72773.194,3560.403,9746.822,644.787,644.787,1047.247,770.1,4.527,22.504,1.052,86.825,1.719,0.994,0.997
5065,8.206,24,50994.289,3087.514,9312.296,438.088,438.088,921.221,732.413,3.578,18.369,1.041,60.057,1.189,0.971,0.991
1036,2.088,6,5260.595,1345.832,6828.496,22.641,22.641,586.968,572.298,1.272,6.89,1.019,23.498,0.241,0.954,0.986
4223,3.144,9,8377.149,1386.746,7073.271,60.335,60.335,596.819,583.466,1.391,7.575,1.02,12.746,0.252,0.968,0.976
4197,4.161,12,14723.637,1547.47,7801.507,113.781,113.781,632.595,606.258,1.656,8.808,1.023,16.785,0.332,0.967,0.999
7650,1.138,3,520.687,1339.225,6645.753,6.854,6.854,454.531,543.195,1.104,5.907,1.019,12.632,0.086,0.982,0.993
4402,2.088,6,3570.614,1384.033,6845.986,29.548,29.548,511.495,561.401,1.227,6.545,1.02,0.0,0.14,0.968,0.996
169,8.206,24,50996.781,3087.615,9325.036,437.981,437.981,933.68,738.889,3.56,18.25,1.041,60.713,1.202,0.95,0.993
8549,9.3,27,72768.952,3560.389,9747.826,644.995,644.995,1063.509,774.221,4.527,22.692,1.051,88.368,1.749,0.986,0.988
259,8.206,24,50997.444,3087.594,9318.686,438.082,438.082,949.346,741.114,3.575,18.593,1.041,62.206,1.231,0.951,0.977
2233,2.088,6,3508.256,1347.583,6825.439,22.894,22.894,532.336,563.615,1.217,6.557,1.019,19.896,0.175,0.959,0.989
900,1.138,3,657.677,1365.877,6737.713,8.469,8.469,457.485,548.968,1.111,5.913,1.019,0.0,0.076,0.953,0.997
4471,8.206,24,50994.339,3087.475,9307.686,438.05,438.05,937.308,735.337,3.588,18.653,1.041,61.508,1.218,0.969,0.977
8602,8.206,24,50993.444,3087.473,9305.293,437.986,437.986,908.13,727.257,3.588,18.363,1.042,59.179,1.172,0.986,0.994
5529,4.161,12,14721.924,1547.462,7771.759,113.773,113.773,636.708,606.218,1.659,8.884,1.023,17.007,0.337,0.973,0.991
3038,6.175,18,29796.819,2307.239,8841.018,246.355,246.355,766.718,667.94,2.497,13.04,1.03,33.657,0.666,0.962,1.0
9837,1.138,3,2845.29,1375.603,6612.745,8.978,8.978,528.057,556.115,1.199,6.519,1.019,6.756,0.162,0.992,0.976
1915,8.206,24,50996.913,3087.583,9315.118,438.131,438.131,942.526,738.511,3.579,18.573,1.041,61.738,1.222,0.958,0.979
3934,2.088,6,3187.069,1377.406,6846.208,28.299,28.299,502.401,560.059,1.213,6.47,1.02,2.845,0.13,0.966,0.996
6916,5.14,15,21629.675,1924.328,8479.63,175.256,175.256,702.458,635.886,2.084,11.081,1.026,24.893,0.493,0.979,0.989
3195,1.138,3,7335.3,1366.126,6709.13,8.524,8.524,657.022,577.038,1.333,7.199,1.019,9.092,0.319,0.963,0.992
10484,9.3,27,72772.681,3560.391,9745.112,644.935,644.935,1048.943,770.399,4.529,22.557,1.052,87.032,1.723,0.994,0.995
5033,3.144,9,8377.937,1386.751,7097.131,60.343,60.343,585.757,581.054,1.39,7.489,1.02,12.29,0.243,0.971,0.988
9323,9.3,27,72774.384,3560.398,9751.403,645.019,645.019,1053.431,771.984,4.521,22.498,1.051,87.308,1.728,0.989,0.996
10033,8.206,24,50993.042,3087.456,9303.298,437.95,437.95,901.145,724.936,3.59,18.324,1.042,58.658,1.161,0.992,0.997
3747,4.161,12,14721.78,1547.456,7755.874,113.753,113.753,653.965,610.311,1.661,9.023,1.022,17.813,0.353,0.966,0.975
8013,4.161,12,14719.234,1547.45,7727.504,113.751,113.751,640.447,605.459,1.663,8.985,1.023,17.23,0.341,0.984,0.981
9176,6.175,18,29761.533,2306.848,8791.175,246.014,246.014,774.351,665.777,2.514,13.357,1.03,34.377,0.681,0.989,0.98
5536,2.088,6,3909.676,1388.566,6827.705,30.403,30.403,521.602,562.529,1.24,6.638,1.02,0.0,0.152,0.973,0.992
1596,4.161,12,14725.221,1547.475,7821.045,113.803,113.803,640.169,609.139,1.654,8.824,1.022,17.111,0.339,0.956,0.996
9836,9.3,27,72755.278,3560.352,9729.084,644.974,644.974,1068.536,774.255,4.55,23.087,1.051,89.295,1.768,0.992,0.975
3604,5.14,15,21633.392,1924.325,8489.322,175.306,175.306,713.586,640.039,2.08,11.105,1.026,25.448,0.504,0.965,0.985
658,2.088,6,4196.566,1344.832,6857.958,22.444,22.444,550.843,566.951,1.238,6.637,1.019,22.527,0.2,0.952,0.996
6309,1.138,3,4549.307,1315.108,6665.985,5.599,5.599,584.681,562.224,1.24,6.646,1.019,31.02,0.251,0.976,1.0
2905,8.206,24,50995.945,3087.579,9314.906,438.106,438.106,933.612,736.233,3.576,18.459,1.041,60.999,1.208,0.962,0.985
8462,3.144,9,8375.288,1386.735,7040.985,60.313,60.313,586.292,579.168,1.392,7.561,1.02,12.344,0.244,0.986,0.979
3667,5.14,15,21634.578,1924.336,8495.679,175.325,175.325,706.87,638.784,2.078,11.026,1.026,25.06,0.496,0.965,0.992
9762,7.148,21,39000.842,2678.056,9121.595,332.288,332.288,808.999,684.204,2.98,15.507,1.036,42.968,0.851,0.991,0.993
922,5.14,15,21639.525,1924.355,8513.794,175.324,175.324,706.579,640.544,2.073,10.93,1.026,24.966,0.494,0.953,0.999
981,1.138,3,1191.295,1386.518,6706.678,9.694,9.694,483.233,554.605,1.136,6.138,1.019,0.0,0.1,0.954,0.98
3343,5.14,15,21633.208,1924.32,8487.562,175.307,175.307,717.032,640.831,2.081,11.138,1.026,25.64,0.508,0.964,0.982
9923,6.175,18,29761.962,2306.841,8793.161,245.944,245.944,767.347,663.958,2.514,13.294,1.031,33.938,0.672,0.992,0.985
252,1.138,3,658.336,1367.743,6692.756,8.615,8.615,470.405,552.411,1.112,6.027,1.019,0.0,0.085,0.951,0.977
10650,4.161,12,14717.993,1547.448,7717.111,113.719,113.719,629.518,602.025,1.664,8.932,1.023,16.738,0.331,0.995,0.988
478,2.088,6,6940.633,1368.741,6821.846,26.826,26.826,635.182,580.805,1.329,7.263,1.019,14.08,0.29,0.952,0.976
10914,7.148,21,39005.883,2678.033,9118.258,332.42,332.42,807.81,683.058,2.985,15.557,1.036,42.954,0.85,0.996,0.991
3266,9.3,27,72781.325,3560.429,9782.057,644.827,644.827,1079.633,780.934,4.485,22.249,1.05,89.02,1.762,0.963,0.999
9123,7.148,21,38995.283,2678.077,9126.505,332.282,332.282,804.032,683.943,2.974,15.381,1.036,42.519,0.842,0.988,1.0
1642,5.14,15,21634.217,1924.311,8487.956,175.309,175.309,727.688,643.867,2.081,11.207,1.026,26.203,0.519,0.957,0.975
10282,5.14,15,21626.908,1924.341,8475.547,175.225,175.225,686.031,630.771,2.085,10.991,1.027,24.019,0.475,0.993,0.999
462,4.161,12,14726.402,1547.48,7841.042,113.822,113.822,639.065,609.62,1.653,8.784,1.022,17.038,0.337,0.951,1.0
10764,1.138,3,3024.097,1366.962,6596.721,8.544,8.544,534.925,556.191,1.204,6.558,1.019,10.063,0.173,0.996,0.975
5677,8.206,24,50993.815,3087.481,9306.443,438.071,438.071,929.678,733.098,3.588,18.586,1.041,60.913,1.206,0.974,0.981
6464,3.144,9,8377.509,1386.748,7091.269,60.334,60.334,580.714,579.335,1.39,7.47,1.02,12.091,0.239,0.977,0.991
1519,8.206,24,50996.979,3087.607,9319.241,438.106,438.106,935.635,737.855,3.57,18.397,1.041,61.044,1.208,0.956,0.987
11066,6.175,18,29761.457,2306.827,8785.051,245.939,245.939,768.146,663.465,2.517,13.345,1.031,34.033,0.674,0.997,0.982
6840,1.138,3,2622.488,1329.815,6620.601,6.409,6.409,538.976,556.528,1.182,6.423,1.019,24.791,0.187,0.979,0.981
6500,3.144,9,8377.923,1386.751,7101.451,60.338,60.338,577.572,578.757,1.39,7.441,1.02,11.958,0.237,0.977,0.995
11392,8.206,24,50993.049,3087.446,9297.988,437.957,437.957,902.394,723.938,3.598,18.447,1.042,58.908,1.166,0.998,0.992
